Game Number,Move Number,Player,Move,Comment
1,1,White,e4 e5,
1,2,Black,f4 Bc5,
1,3,White,Nf3 d6,
1,4,Black,Nc3 Nc6,
1,5,White,Bb5 Bg4,"The first four moves might be out of fashion, but this move is the first to seem slightly odd.  Clearly the bishop is best on c4; because white can, and eventually will probably exchange on e5, the bishop will support the rook on the open f-file bearing down on f7 (although it is a complication that white cannot castle to do this), and the bishop cannot be challenged by ...d5.  Instead of playing the most natural move, Alapin pursues a more concrete, but one-dimensional idea."
1,6,Black,d3 Ne7,"There are many ways to look at this move, which seems to be clearly best if less obvious than 6...Nf6.  I would like to see it as black's first ""reaction"" move, against the slightly odd 5.Bb5.  After black castles and eradicates the pin, this bishop essentially stops contributing to the fight for the center, since Bxc6 can be met with a recapture by the knight."
1,7,White,h3 Bxf3,
1,8,Black,Qxf3 O-O,
1,9,White,f5 Nd4,"In this game, it seems that every time white moves a pawn, it causes him trouble.  Here he returns the bishop pair (although it wasn't easy to see what to do with it) and takes the pressure off of the center, making it easier for black to play ...d5."
1,10,Black,Qg3 Nxb5,
1,11,White,Nxb5 f6,
1,12,Black,Be3 Bxe3,
1,13,White,Qxe3 d5,
1,14,Black,O-O c6,
1,15,White,Na3 Qb6,"This is a very ugly knight.  Besides that, the crux of black's advantage is that he has the lever to open the d-file WHEN HE IS READY TO DO SO, by way of which he takes over the game."
1,16,Black,Qxb6 axb6,
1,17,White,c3 Rfd8,"Of course the a8-rook, since it is doing something where it is, should be the last to move."
1,18,Black,Rf2 Rd7,And this is the key; black is able to take over the d-file because of his pawn lever.
1,19,White,Nc2 Rad8,
1,20,Black,Re1 dxe4,
1,21,White,dxe4 Nc8,"And this can be seen as the second ""reaction move"".  Because 17.c3 created weaknesses on a4 and c4, black prepares to bring his knight within reach of those squares."
1,22,Black,Rfe2 b5,
1,23,White,Na1 Nb6,
1,24,Black,Nb3 Na4,
1,25,White,Kf2 c5,
1,26,Black,Rc2 g6,"Everything was going nicely on the queenside; black has a grip on the d-file and a very bothersome knight while white's pieces just look jumbled up, and suddenly Rubinstein makes a move on the side of the board we had forgotten all about.  It seemed he wasn't interested in playing out ...c4 Nc1 on the board yet since it gives white information before black is ready to strike.  Instead, it's time to calmly improve matters some more, waiting for white to make more concessions before black REACTS.  And ...g6 fxg6 does improve matters because now black can create a passer at any moment with ...f5."
1,27,White,fxg6 hxg6,
1,28,Black,Nc1 c4,Now 29.b3 is met by 29...Nc5.
1,29,White,Ke3 Kf7,
1,30,Black,Rf1 Rd1,"Rubinstein seems to remove all of white's good pieces, while maintaining just enough material to win.  Now white has no chances to double on f6."
1,31,White,Rxd1 Rxd1,
1,32,Black,Ke2 Rd8,"Even now, the weaknesses of the queenside and the e4-square prevent white from challenging the d-file for several moves."
1,33,White,Ke3 Nc5,
1,34,Black,b3 Ke6,
1,35,White,bxc4 bxc4,
1,36,Black,Rb2 Rd1,"White goes for counterplay, but this also weakens his own defenses."
1,37,White,Rb6+ Kd7,
1,38,Black,Ne2 Kc7,An excellent tactical finnesse which forces the rook to give up ground.
1,39,White,Rb4 Rd3+,
1,40,Black,Kf2 Nxe4+,The first fruit finally falls.
1,41,White,Ke1 Nd6,
1,42,Black,Ra4 Kc6,
1,43,White,Ra8 Kd5,
1,44,Black,h4 Nf5,
1,45,White,Rf8 Ne3,
1,46,Black,Rg8 Nxg2+,
1,47,White,Kf2 Nxh4,
1,48,Black,Rd8+ Ke4,
1,49,White,Ng3+ Kf4,
1,50,Black,Ne2+ Kg4,
1,51,White,Rc8 Rf3+,"White is quite clearly lost, but a couple of variations are required to conclude that 51...Rf3+ was actually the most precise finish.  This was a tremendous game by black in every phase."
2,1,White,e4 c5,
2,2,Black,Nf3 Nc6,
2,3,White,d4 cxd4,
2,4,Black,Nxd4 Nf6,
2,5,White,Nc3 e5,
2,6,Black,Ndb5 d6,
2,7,White,Bg5 a6,
2,8,Black,Na3 b5,
2,9,White,Nd5 Be7,
2,10,Black,Bxf6 Bxf6,
2,11,White,c3 Ne7,"I have to admit that I'm not well-versed in the theory of this variation with 9.Nd5 instead of 9.Bxf6, but I know enough that this move causes me to sit up and pay attention. The idea of the 9.Nd5 line, as I understand it, is that black cannot get away with challenging the knight this easily. Presumably the kingside weaknesses are too much if black is also without his dark-squared bishop. But black says: ""show me""."
2,12,Black,Nxf6+ gxf6,
2,13,White,Bd3 Bb7,"The bishop often stays put for a long time in these lines, so this isn't an obvious case of ""finish development, get castled"",... especially if you see how white continues! Regarding development of the bishop to d3 in general - it is meant to be prophylactic, I think, against ...d5 and ...f5, but white has to show some care in that the bishop can find itself misplaced if black gets an opportunity to play ...f5 as a sac and then start rolling the center."
2,14,Black,Qe2 d5,"Keeping his castling options open, but soon he will have to choose and he will certainly go kingside..."
2,15,White,O-O-O Qc7,"Well I'll be damned! Actually, looking over this game a second time around, this seems very logical. If you read my notes to last week's game, you might even agree that this is a ""reaction"" move agaist 14...d5, the possibility of which white has cleverly kept open, but, but... the Na3 is supposed to go to the center, white is supposed to play a4 to activate the a1-rook, etc. Patterns can be useful, but they can be limiting as well. Apparently Nisipeanu is less susceptible to being limited by patterns than I am."
2,16,Black,Nc2 O-O-O,
2,17,White,exd5 Kb8,"Opening the center and preparing some exchanges. In general, white's advantage can be expected to grow as more pieces are exchanged, because his pawn structure is better. One possible modification to note, however, is that if white keeps the knights on the board, this may prove useful to tickle the weak a6 and c6 squares around black's king."
2,18,Black,Be4 f5,
2,19,White,d6 Rxd6,
2,20,Black,Bxb7 Kxb7,
2,21,White,Rxd6 Qxd6,
2,22,Black,Rd1 Qe6,
2,23,White,Nb4 Rc8,
2,24,Black,Qd3 e4,"I don't like this move. Black almost forces white to penetrate into the position, which he was probably intending anyway. In black's defense, it takes some calculation to see how bad this actually is."
2,25,White,Qd7+ Rc7,
2,26,Black,Qxe6 fxe6,
2,27,White,Rd6 a5,
2,28,Black,Na6 Rc6,"The second move from white in this game to take me completely by surprise. The a6-square seems remote and unlikely, not least because the knight is nearly trapped there. For these reasons I would be tempted not to look at it at all. But after you see it, it becomes clear that 28. Na6 is the winning move, since in this case white's rook penetrates and becomes unanswerable after the slightly tricky knight exchange."
2,29,White,Rd7+ Kxa6,
2,30,Black,Rxe7 b4,
2,31,White,Kc2 a4,
2,32,Black,Rxh7 a3,"And now it is merely a ""matter of technique""."
2,33,White,Rh3 f4,
2,34,Black,Kb3 axb2,
2,35,White,Kxb2 bxc3+,
2,36,Black,Rxc3 Rd6,
2,37,White,Kc2 Kb5,
2,38,Black,h4 e5,
2,39,White,h5 Rd8,Nothing helped.
2,40,Black, h6,
3,1,White,d4 Nf6,
