Game Number,Move Number,Player,Move,Comment
1,1,White,e4 e5,
1,2,Black,Nf3 Nc6,
1,3,White,Bb5 a6,
1,4,Black,Ba4 Nf6,
1,5,White,O-O Be7,
1,6,Black,Qe2 b5,
1,7,White,Bb3 O-O,
1,8,Black,c3 d5,
1,9,White,d3 dxe4,"An excellent reply, avoiding the complications arising from 9.
exd5 and ensuring White a positional advantage since the opening of the d-file
is in his favour (as he can immediately occupy it) - Alekhine"
1,10,Black,dxe4 Bg4,
1,11,White,h3 Bh5,
1,12,Black,Bg5 Ne8,
1,13,White,Bxe7 Bxf3,
1,14,Black,Qxf3 Nxe7,
1,15,White,Rd1 Nd6,
1,16,Black,Nd2 c6,
1,17,White,Nf1 Qc7,
1,18,Black,a4 Rad8,
1,19,White,Ng3 Nec8,
1,20,Black,axb5 axb5,
1,21,White,Nf5 Nb6,
1,22,Black,Qe3 Nxf5,
1,23,White,exf5 c5,
1,24,Black,f6 gxf6,
1,25,White,Qh6 f5,
1,26,Black,Bxf7+ Qxf7,
1,27,White,Rxd8 Na4,
1,28,Black,b3 Nxc3,
1,29,White, Raa8,
2,1,White,exd5 Qxd5,
2,2,Black,Qe2 Bb7,
2,3,White,Bg5 Rfe8,
2,4,Black,Bh4 Rad8,"Apparently Black still stands very well. His pressure on the d-pawn
seems to condemn the Bishop to passivity"
2,5,White,Bb3 Qxd3,This deep moves demonstrates otherwise
2,6,Black,Qxd3 Rxd3,
2,7,White,Nxe5 Nxe5,
2,8,Black,Rxe5 c4,"The Black pieces are
awkardly ties up, while the White ones have developed great activity. With the
text move Black hopes to persuade the dangerous bishop to be more modest, but
he doesn't succeed"
2,9,White,Bc2 Rdd8,
2,10,Black,Rae1 Kf8,
2,11,White,Bxh7 Bd6,
2,12,Black,Rxe8+ Rxe8,
2,13,White,Rxe8+ Nxe8,
2,14,Black, Bc2,
3,1,White, b5 Bb3,Black sets about it by force
3,2,Black, b4 f6,An unpleasant intermediate move which breaks open the King's position.
3,3,White, gxf6 Rxc6,
3,4,Black, Qxe3+ Kh1,
3,5,White, Bb7 Rcxf6,"The most consequent continuation by which the Black bishop also assumes an
active role. But the weakening of the King's position now begins to bearfruit"
3,6,Black, Qe4 Qd2,
3,7,White, Kh8 Bxf7,
3,8,Black, Rac8 R6f2,
3,9,White, Rcd8 Qg5,
3,10,Black, Rd6 Bd5,The activity of the Bishop has reached its high point
4,1,White, a5 a4,Preparing ... Pb5.
4,2,Black, Rb8 Qc2,
4,3,White, Bd7 Rd3,
4,4,Black, Rbd8 Qd2,"Seemingly very strong, attacking the Bishop and the a-pawn simultaneously"
4,5,White, b5 axb5,
4,6,Black, cxb5 Bd5,
4,7,White, Bc6 e4,
4,8,Black, Bxd5 exd5,
4,9,White, Qb6+ Qf2,
4,10,Black, Qxf2+ Kxf2,
5,1,White,c4 Ne7,"First of all, the hostile Knight must be dislodged from his strong position."
5,2,Black,Qf3 Qc6,
5,3,White,Qxf7 Qc5+,
5,4,Black,Kh2 Rd1,"Black suddenly produced
the counterthreat of Qg1 mate, a threat not easily parried."
5,5,White,Re3 b5,"since defence is useless, Black makes one last desparate attempt"
5,6,Black,Qxe6 Nc8,
5,7,White,a5 Qc7,Preventing the escape of the King via b6
5,8,Black,Qe4 Qb8,
5,9,White, Qg4,
6,1,White, Rxf2 Rxf2,
6,2,Black, Qe1+ Bf1,
6,3,White, Rxf2 Qxf2,
6,4,Black, Qe5 Qe2,"The intention of the text is
plain: Black hopes to force Pc5 and make the White Bishop less effective"
6,5,White, Qd4+ Kh2,
6,6,Black, Kf8 c4,Such pawn moves should be made only if no other possibility remains.
6,7,White, Bf5 g4,Another pawn on the wrong colout!
6,8,Black, Bb1 a3,
6,9,White, Be4 Kg3,
