Game Number,Move Number,Player,Move,Board,Comment
547,1,White,e2e4,"r n b q k b n r
p p p p p p p p
. . . . . . . .
. . . . . . . .
. . . . . . . .
. . . . . . . .
P P P P P P P P
R N B Q K B N R",
547,2,Black,e7e5,"r n b q k b n r
p p p p p p p p
. . . . . . . .
. . . . . . . .
. . . . P . . .
. . . . . . . .
P P P P . P P P
R N B Q K B N R",
547,3,White,f2f4,"r n b q k b n r
p p p p . p p p
. . . . . . . .
. . . . p . . .
. . . . P . . .
. . . . . . . .
P P P P . P P P
R N B Q K B N R",
547,4,Black,f8c5,"r n b q k b n r
p p p p . p p p
. . . . . . . .
. . . . p . . .
. . . . P P . .
. . . . . . . .
P P P P . . P P
R N B Q K B N R",
547,5,White,g1f3,"r n b q k . n r
p p p p . p p p
. . . . . . . .
. . b . p . . .
. . . . P P . .
. . . . . . . .
P P P P . . P P
R N B Q K B N R",
547,6,Black,d7d6,"r n b q k . n r
p p p p . p p p
. . . . . . . .
. . b . p . . .
. . . . P P . .
. . . . . N . .
P P P P . . P P
R N B Q K B . R",
547,7,White,b1c3,"r n b q k . n r
p p p . . p p p
. . . p . . . .
. . b . p . . .
. . . . P P . .
. . . . . N . .
P P P P . . P P
R N B Q K B . R",
547,8,Black,b8c6,"r n b q k . n r
p p p . . p p p
. . . p . . . .
. . b . p . . .
. . . . P P . .
. . N . . N . .
P P P P . . P P
R . B Q K B . R",
547,9,White,f1b5,"r . b q k . n r
p p p . . p p p
. . n p . . . .
. . b . p . . .
. . . . P P . .
. . N . . N . .
P P P P . . P P
R . B Q K B . R","The first four moves might be out of fashion, but this move is the first to seem slightly odd.  Clearly the bishop is best on c4; because white can, and eventually will probably exchange on e5, the bishop will support the rook on the open f-file bearing down on f7 (although it is a complication that white cannot castle to do this), and the bishop cannot be challenged by ...d5.  Instead of playing the most natural move, Alapin pursues a more concrete, but one-dimensional idea."
547,10,Black,c8g4,"r . b q k . n r
p p p . . p p p
. . n p . . . .
. B b . p . . .
. . . . P P . .
. . N . . N . .
P P P P . . P P
R . B Q K . . R",
547,11,White,d2d3,"r . . q k . n r
p p p . . p p p
. . n p . . . .
. B b . p . . .
. . . . P P b .
. . N . . N . .
P P P P . . P P
R . B Q K . . R",
547,12,Black,g8e7,"r . . q k . n r
p p p . . p p p
. . n p . . . .
. B b . p . . .
. . . . P P b .
. . N P . N . .
P P P . . . P P
R . B Q K . . R","There are many ways to look at this move, which seems to be clearly best if less obvious than 6...Nf6.  I would like to see it as black's first ""reaction"" move, against the slightly odd 5.Bb5.  After black castles and eradicates the pin, this bishop essentially stops contributing to the fight for the center, since Bxc6 can be met with a recapture by the knight."
547,13,White,h2h3,"r . . q k . . r
p p p . n p p p
. . n p . . . .
. B b . p . . .
. . . . P P b .
. . N P . N . .
P P P . . . P P
R . B Q K . . R",
547,14,Black,g4f3,"r . . q k . . r
p p p . n p p p
. . n p . . . .
. B b . p . . .
. . . . P P b .
. . N P . N . P
P P P . . . P .
R . B Q K . . R",
547,15,White,d1f3,"r . . q k . . r
p p p . n p p p
. . n p . . . .
. B b . p . . .
. . . . P P . .
. . N P . b . P
P P P . . . P .
R . B Q K . . R",
547,16,Black,e8g8,"r . . q k . . r
p p p . n p p p
. . n p . . . .
. B b . p . . .
. . . . P P . .
. . N P . Q . P
P P P . . . P .
R . B . K . . R",
547,17,White,f4f5,"r . . q . r k .
p p p . n p p p
. . n p . . . .
. B b . p . . .
. . . . P P . .
. . N P . Q . P
P P P . . . P .
R . B . K . . R","In this game, it seems that every time white moves a pawn, it causes him trouble.  Here he returns the bishop pair (although it wasn't easy to see what to do with it) and takes the pressure off of the center, making it easier for black to play ...d5."
547,18,Black,c6d4,"r . . q . r k .
p p p . n p p p
. . n p . . . .
. B b . p P . .
. . . . P . . .
. . N P . Q . P
P P P . . . P .
R . B . K . . R",
547,19,White,f3g3,"r . . q . r k .
p p p . n p p p
. . . p . . . .
. B b . p P . .
. . . n P . . .
. . N P . Q . P
P P P . . . P .
R . B . K . . R",
547,20,Black,d4b5,"r . . q . r k .
p p p . n p p p
. . . p . . . .
. B b . p P . .
. . . n P . . .
. . N P . . Q P
P P P . . . P .
R . B . K . . R",
547,21,White,c3b5,"r . . q . r k .
p p p . n p p p
. . . p . . . .
. n b . p P . .
. . . . P . . .
. . N P . . Q P
P P P . . . P .
R . B . K . . R",
547,22,Black,f7f6,"r . . q . r k .
p p p . n p p p
. . . p . . . .
. N b . p P . .
. . . . P . . .
. . . P . . Q P
P P P . . . P .
R . B . K . . R",
547,23,White,c1e3,"r . . q . r k .
p p p . n . p p
. . . p . p . .
. N b . p P . .
. . . . P . . .
. . . P . . Q P
P P P . . . P .
R . B . K . . R",
547,24,Black,c5e3,"r . . q . r k .
p p p . n . p p
. . . p . p . .
. N b . p P . .
. . . . P . . .
. . . P B . Q P
P P P . . . P .
R . . . K . . R",
547,25,White,g3e3,"r . . q . r k .
p p p . n . p p
. . . p . p . .
. N . . p P . .
. . . . P . . .
. . . P b . Q P
P P P . . . P .
R . . . K . . R",
547,26,Black,d6d5,"r . . q . r k .
p p p . n . p p
. . . p . p . .
. N . . p P . .
. . . . P . . .
. . . P Q . . P
P P P . . . P .
R . . . K . . R",
547,27,White,e1g1,"r . . q . r k .
p p p . n . p p
. . . . . p . .
. N . p p P . .
. . . . P . . .
. . . P Q . . P
P P P . . . P .
R . . . K . . R",
547,28,Black,c7c6,"r . . q . r k .
p p p . n . p p
. . . . . p . .
. N . p p P . .
. . . . P . . .
. . . P Q . . P
P P P . . . P .
R . . . . R K .",
547,29,White,b5a3,"r . . q . r k .
p p . . n . p p
. . p . . p . .
. N . p p P . .
. . . . P . . .
. . . P Q . . P
P P P . . . P .
R . . . . R K .","This is a very ugly knight.  Besides that, the crux of black's advantage is that he has the lever to open the d-file WHEN HE IS READY TO DO SO, by way of which he takes over the game."
547,30,Black,d8b6,"r . . q . r k .
p p . . n . p p
. . p . . p . .
. . . p p P . .
. . . . P . . .
N . . P Q . . P
P P P . . . P .
R . . . . R K .",
547,31,White,e3b6,"r . . . . r k .
p p . . n . p p
. q p . . p . .
. . . p p P . .
. . . . P . . .
N . . P Q . . P
P P P . . . P .
R . . . . R K .",
547,32,Black,a7b6,"r . . . . r k .
p p . . n . p p
. Q p . . p . .
. . . p p P . .
. . . . P . . .
N . . P . . . P
P P P . . . P .
R . . . . R K .",
547,33,White,c2c3,"r . . . . r k .
. p . . n . p p
. p p . . p . .
. . . p p P . .
. . . . P . . .
N . . P . . . P
P P P . . . P .
R . . . . R K .","This creates a serious weakness on d3.  One implication is that now exd5, trying to liquidate into a slightly worse position, becomes impossible as black recaptures with a rook and puts too much pressure on the weak pawn.  Less obvious is that after black exchanges d-pawns, the square remains weak, and in fact white's entire queenside, especially the a4 and c4 squares.  This is because, with c2-c3 already played, b2-b3 creates further weaknesses.  Nonetheless, it was already difficult for white, and the idea to get his knight into play seemed reasonable."
547,34,Black,f8d8,"r . . . . r k .
. p . . n . p p
. p p . . p . .
. . . p p P . .
. . . . P . . .
N . P P . . . P
P P . . . . P .
R . . . . R K .","Of course the a8-rook, since it is doing something where it is, should be the last to move."
547,35,White,f1f2,"r . . r . . k .
. p . . n . p p
. p p . . p . .
. . . p p P . .
. . . . P . . .
N . P P . . . P
P P . . . . P .
R . . . . R K .",
547,36,Black,d8d7,"r . . r . . k .
. p . . n . p p
. p p . . p . .
. . . p p P . .
. . . . P . . .
N . P P . . . P
P P . . . R P .
R . . . . . K .",And this is the key; black is able to take over the d-file because of his pawn lever.
