Game Number,Move Number,Player,Move,Comment
1,1,White,e4 e6,"Now, along with Pe4 there is an indication Black will place pawns on light-color squares to prevent Bf1 from ever being dangerous. White will probably have to meet 2...d5 with e4-e5 to open the d3-h7 diagonal. So, White needs a Pd4 to support Pe5."
1,2,Black,d4 d5,
1,3,White,Nc3 Bb4,"Winawer Variation -- by pinning Nc3 Black keeps Nc3 awkward. It does, however, give White time for e4-e5."
1,4,Black,e5 c5,"Black attacks in a most natural way, though he does leave Pg7 exposed for the moment."
1,5,White,a3 Bxc3+,This is a saving grace which helps White straighten-out his queen-side a bit.
1,6,Black,bxc3 Ne7,"After this it's clear White has to attack at the base of Black's pawn chain (Pf7, g7, h7) and Black can attack Pc2, Pc3 & Pd4; but both will also be keeping their eyes on the opponent's king, hoping to ensnare him in an attack."
1,7,White,Qg4 O-O,"For a time this was considered bad, but has recently made a come-back. The king seems a little out of place (unlike after ...O-O-O) , but with ...f7-f5 he's been able to slow White's attacks."
1,8,Black,Bd3 f5,
1,9,White,exf6 Rxf6,"Black hasn't blocked-out Bd3, but has more room for his pieces to defend Kg8. The backward Pe6 is hardly of importance when a king's safety is at stake. There is even the possibility of ...e6-e5 (discovering an attack on Qg4) and then ...e5-e4 to block out Bd3."
1,10,Black,Bg5 Rf7,
1,11,White,Qh5 g6,this secures Ph7 and may serve to provide a support for ...Ne7-f5
1,12,Black,Qd1 Nbc6,"Although he could have played 12. Qh4 I think he might have had it in mind to play h2-h4-h5xg6 to continue the attack on Kg8. In any event after Qd8 moves Black would have ...Ne7-f5, so Qd1 is safer."
1,13,White,Nf3 Qf8,"It seems to me this is the moment for Black to define (and begin) his middle-game plan. To develop Bc8-d7 isn't much: ideally Black could now (without White's Pe5) aim for ...e6-e5 when Bc8 could develop to g4 or f5. So, 13...c4 14. Be2 Qd6 might be a good start. If one doesn't like ...c5-c4 then 13...Qd6 could still be played. White can't fight for square e5 so easily."
1,14,Black,O-O c4,
1,15,White,Be2 h6,further weakening the king's position seems unnecessary.
1,16,Black,Bc1 Bd7,
1,17,White,Ne1 g5,"I'm told this is a novelty, which means all which preceded it had been played before. This amazes me because it seems to me Black's play was far from perfect."
1,18,Black,g3 Nf5,"While Black is moving the pawns in front of his king White aims to control f4, leaving Black's center and king weak. Those two factors (if achieved by White) could lead to a won position."
1,19,White,Ng2 Qg7,
1,20,Black,f4 Nd6,
1,21,White,Qe1 b5,"White might have found it useful to play a3-a4, but Black uses Pb5 to bind Pa3 & Pc3 which blocks Bc1 and Ra1. This isn't essential to a resolution of the pressures on Pf4, but it could contribute to the pressure on Ponomariov to find his way."
1,22,Black,fxg5 Rxf1+,"Ponomariov prefers to simplify the position; rightly so I think. His pieces need room to fight, before Black gets in ...e6-e5."
1,23,White,Bxf1 hxg5,
1,24,Black,Ne3 Rf8,
1,25,White,Bg2 a5,
