Game Number,Move Number,Player,Move,Comment
1,1,White,e4 e5,"In my preparation to this tournament, I (and probably everybody else) paid the most serious attention to two openingsx Ruy Lopez with Bc5 and Najdorf, since most of the participants seem to play them both. Needless to say, refuting Najdorf is tough, but I thought I came close to refuting Ruy Lopez with 5...b5 and 6...Bc5, provided Black responded to 7.a4 with 7...Rb8. But the opening ceremony dealt a heavy blow to mex I was the last one to play Shirov with White. And indeed, in Rounds 7&8 Shirov faced the position after 7.a4 against Kasparov & Anand. But to my relief, he must have thought that these guys know something and replied 7...Bb7. I was still in business."
1,2,Black,Nf3 Nc6,
1,3,White,Bb5 a6,
1,4,Black,Ba4 Nf6,
1,5,White,O-O b5,
1,6,Black,Bb3 Bc5,
1,7,White,a4 Rb8,"Played without hesitation, as I and Nigel correctly guessed he wouldx his 7...Bb7 was not broken, but quite bent in the game vs Vishy, and also I probably don't give the impression of a man capable to prepare anything at all."
1,8,Black,c3 d6,
1,9,White,d4 Bb6,
1,10,Black,Na3 Bg4,
1,11,White,axb5 axb5,
1,12,Black,Nxb5 O-O,"One of the strangest tabyias of modern times. Black is a pawn down and is prepared to take on f3, strengthening White's centre and giving him the advantage of two Bishops."
1,13,White,Re1 Bxf3,"This position saw also 13.Bc2 and 13.Be3, but Black is doing relatively fine there."
1,14,Black,gxf3 Nh5,"Shirov is repeating his game vs Ivanchuk from Belgrade, where he had no problems whatsoever."
1,15,White,Kh1 Qf6,Played very quickly again. Other moves arex
1,16,Black,Rg1 Nf4,Winning an important tempo.
1,17,White,Be3 Ne6,The only possible source of counterplay.
1,18,Black,Bxe6 fxe6,
1,19,White,Rg3 Kh8,A good prophylactic move
1,20,Black,Qd3 exd4,"This move does not spoil anything, but it was probably better to play 20.Rc1, and Black is left with almost no counterplay at all."
1,21,White,cxd4 e5,
1,22,Black,d5 Ne7,"Here I spent half an hour calculating this position to the end, and played"
1,23,White,Bxb6 Rxb6,
1,24,Black,Nxc7 Rxb2,
1,25,White,Ne6 Rg8,
1,26,Black,Kg1 Ng6,"Many other ideas are tempting, but this is the best. White chases away the enemy rook and then goes on the offensive."
1,27,White,Qa3 Rb6,
1,28,Black,Kh1 Nf4,The point. White is perfectly coordinated and is ready to tie Black completely with 29.Rag1.
1,29,White,Nxg7 Ne2,
1,30,Black,Nf5 Rgb8,"That's what Alexei probably missed. White has no intention of protecting the exchange - once Black take on g3, the game will be over."
1,31,White,Qd3 Rb2,
1,32,Black,Rf1 Ra8,"Probably something like 32.Rg4 was winning also, but this move is better- Black will be forced to take on g3 quite soon."
1,33,White,Qc4 Nxg3+,
1,34,Black,hxg3 Qd8,White is now winning easily.
1,35,White,Qc1 Rb3,
1,36,Black,Kg2 Qf8,
1,37,White, Qc7,
2,1,White,d4 d5,
2,2,Black,c4 dxc4,
2,3,White,e4 Nf6,
2,4,Black,e5 Nd5,
2,5,White,Bxc4 Nb6,
2,6,Black,Bb3 Nc6,
2,7,White,Ne2 Bf5,
2,8,Black,a3 e6,
2,9,White,Nbc3 Qd7,
2,10,Black,O-O O-O-O,
2,11,White,Be3 h5,
2,12,Black,Bc2 h4,
2,13,White,h3 f6,
2,14,Black,Bxf5 exf5,
2,15,White,exf6 gxf6,
2,16,Black,Nf4 Bd6,
2,17,White,Qf3 Bxf4,
2,18,Black,Qxf4 Ne7,
2,19,White,Rac1 Ned5,
2,20,Black,Qf3 Rhg8,
2,21,White,Nxd5 Qxd5,
2,22,Black,Qxd5 Nxd5,
2,23,White,Bd2 Rge8,
2,24,Black,Rfe1 Re4,
